rok,stopa_bezrobocia,inflacja_ogolna,inflacja_emeryci,realny_wzrost_wynagrodzen,realny_wzrost_PKB,sciagalnosc_skladek
2022,5.5,113.5,113.8,97.5,104.2,99.0
2023,6.0,109.8,110.1,99.8,101.4,98.0
2024,6.0,104.8,105.1,102.9,102.8,98.0
2025,6.0,103.1,103.4,103.0,102.8,98.0
2026,6.0,102.5,102.8,102.8,102.6,98.0
2027,6.0,102.5,102.8,102.5,102.5,98.0
2028,6.0,102.5,102.8,102.4,102.5,98.0
2029,6.0,102.5,102.8,102.4,102.5,98.0
2030,6.0,102.5,102.8,102.4,102.4,98.0
2035,6.0,102.5,102.8,102.3,102.0,98.0
2040,6.0,102.5,102.8,102.2,101.6,98.0
2045,6.0,102.5,102.8,102.1,101.2,98.0
2050,6.0,102.5,102.8,101.9,101.0,98.0
2055,6.0,102.5,102.8,101.8,101.0,98.0
2060,6.0,102.5,102.8,101.7,101.2,98.0
2065,6.0,102.5,102.8,101.6,101.3,98.0
2070,6.0,102.5,102.8,101.5,101.1,98.0
2075,6.0,102.5,102.8,101.4,100.8,98.0
2080,6.0,102.5,102.8,101.2,100.7,98.0
