rok,wariant_1,wariant_2,wariant_3
2023,-74244,-80552,-68871
2024,-95409,-105603,-87844
2025,-108900,-122239,-99458
2026,-118049,-133890,-106453
2027,-125365,-143176,-111279
2028,-131593,-151223,-115250
2029,-136815,-158079,-118697
2030,-141843,-164766,-121898
2031,-144842,-169498,-122859
2032,-146984,-173484,-123035
2035,-153997,-186478,-122649
2040,-165625,-209107,-120173
2045,-194829,-249044,-131352
2050,-231366,-294406,-151619
2055,-258254,-331741,-158427
2060,-261766,-352716,-128913
2065,-230572,-351552,-40161
2070,-200597,-358462,64459
2075,-214704,-403983,130709
2080,-272925,-484371,159058
