rok,wariant_1,wariant_2,wariant_3
2023,-59575,-64637,-55263
2024,-73052,-80857,-67260
2025,-80874,-90780,-73862
2026,-85530,-97008,-77129
2027,-88616,-101206,-78659
2028,-90749,-104287,-79479
2029,-92049,-106356,-79859
2030,-93104,-108151,-80013
2031,-92754,-108544,-78677
2032,-91830,-108386,-76867
2035,-89342,-108186,-71155
2040,-84928,-107224,-61621
2045,-88299,-112871,-59531
2050,-92680,-117932,-60735
2055,-91435,-117453,-56091
2060,-81914,-110375,-40341
2065,-63773,-97234,-11108
2070,-49038,-87630,15758
2075,-46391,-87287,28242
2080,-52121,-92501,30376
