rok,wariant_1,wariant_2,wariant_3
2023,145016,140586,149015
2024,149587,143220,154773
2025,154870,146649,161204
2026,159886,150040,167616
2027,164175,152995,173552
2028,168311,155786,179373
2029,172637,158736,185273
2030,177027,161721,191290
2031,181710,164940,197741
2032,186727,168425,204487
2035,201309,178090,225157
2040,223066,190677,258416
2045,238706,196627,288009
2050,250843,199282,313901
2055,264754,203071,342497
2060,283504,210123,379012
2065,307417,220006,425840
2070,331936,228924,476830
2075,353794,234586,528172
2080,372457,237354,579079
