rok,wariant_1,wariant_2,wariant_3
2023,254968,255755,254578
2024,290778,292655,289986
2025,317438,319707,316525
2026,338724,340975,337797
2027,357625,359619,356804
2028,375657,377124,375353
2029,393410,394012,394073
2030,411540,411146,413325
2031,428594,427064,431646
2032,445860,443067,450339
2035,500990,493449,510746
2040,600645,580963,624133
2045,721523,682893,766831
2050,857572,791896,935242
2055,1006039,905306,1125793
2060,1167734,1024187,1340087
2065,1342049,1146993,1579799
2070,1558429,1294909,1886086
2075,1852131,1489692,2313772
2080,2223250,1727245,2873215
