rok,wariant_1,wariant_2,wariant_3
2023,204591,205223,204278
2024,222639,224077,222033
2025,235744,237429,235066
2026,245416,247048,244745
2027,252791,254201,252211
2028,259061,260073,258851
2029,264686,265092,265133
2030,270131,269872,271303
2031,274463,273484,276418
2032,278557,276811,281355
2035,290651,286276,296312
2040,307993,297901,320037
2045,327005,309498,347539
2050,343523,317215,374636
2055,356189,320524,398588
2060,365418,320498,419353
2065,371190,317240,436947
2070,380974,316553,461073
2075,400185,321873,499930
2080,424578,329855,548703
