rok,wariant_1,wariant_2,wariant_3
2023,-7.9,-8.75,-7.16
2024,-9.39,-10.76,-8.4
2025,-10.05,-11.81,-8.86
2026,-10.32,-12.35,-8.92
2027,-10.43,-12.67,-8.8
2028,-10.45,-12.86,-8.63
2029,-10.36,-12.91,-8.41
2030,-10.25,-12.92,-8.18
2031,-9.97,-12.74,-7.8
2032,-9.63,-12.49,-7.39
2035,-8.73,-11.85,-6.24
2040,-7.48,-10.95,-4.7
2045,-7.17,-11.03,-4.03
2050,-7.06,-11.2,-3.72
2055,-6.56,-10.87,-3.13
2060,-5.48,-9.86,-2.03
2065,-3.94,-8.3,-0.5
2070,-2.8,-7.19,0.63
2075,-2.49,-6.99,1.02
2080,-2.65,-7.32,1.0
