rok,wariant_1,wariant_2,wariant_3
2023,180724,175203,185707
2024,195369,187052,202142
2025,208538,197468,217067
2026,220675,207085,231344
2027,232259,216443,245525
2028,244064,225901,260103
2029,256595,235933,275376
2030,269697,246379,291427
2031,283752,257566,308787
2032,298876,269583,327304
2035,346992,306971,388098
2040,435020,371856,503960
2045,526695,433849,635479
2050,626206,497489,783623
2055,747785,573564,967366
2060,905968,671471,1211174
2065,1111477,795441,1539638
2070,1357832,936447,1950545
2075,1637427,1085709,2444481
2080,1950324,1242874,3032273
